Catégorie : Toutes catégories

Mois,diet: (Dans tous les pays),gym: (Dans tous les pays),finance: (Dans tous les pays)
2004-01,100,27,46
2004-02,73,24,47
2004-03,67,23,47
2004-04,64,22,44
2004-05,72,19,40
2004-06,60,21,43
2004-07,58,22,43
2004-08,56,26,43
2004-09,54,25,44
2004-10,51,24,42
2004-11,49,21,41
2004-12,40,21,40
2005-01,63,31,43
2005-02,53,26,44
2005-03,55,24,43
2005-04,54,23,44
2005-05,55,24,41
2005-06,51,23,42
2005-07,53,24,43
2005-08,51,27,43
2005-09,45,27,43
2005-10,45,25,42
2005-11,41,25,42
2005-12,37,24,38
2006-01,63,32,44
2006-02,49,28,42
2006-03,54,26,50
2006-04,49,24,44
2006-05,50,24,45
2006-06,51,24,44
2006-07,50,26,43
2006-08,50,29,43
2006-09,45,30,44
2006-10,43,27,45
2006-11,43,27,43
2006-12,35,26,38
2007-01,56,36,46
2007-02,49,32,47
2007-03,50,32,48
2007-04,51,32,47
2007-05,48,32,46
2007-06,47,30,44
2007-07,47,30,49
2007-08,43,31,51
2007-09,44,32,49
2007-10,40,28,50
2007-11,38,27,49
2007-12,33,26,41
2008-01,53,34,52
2008-02,45,29,47
2008-03,46,28,50
2008-04,47,28,51
2008-05,44,25,46
2008-06,42,27,49
2008-07,44,26,51
2008-08,43,30,47
2008-09,40,32,62
2008-10,41,28,71
2008-11,39,27,55
2008-12,37,27,52
2009-01,52,35,56
2009-02,46,30,56
2009-03,48,29,60
2009-04,46,27,56
2009-05,47,27,52
2009-06,46,28,54
2009-07,45,28,54
2009-08,46,31,54
2009-09,43,30,57
2009-10,43,27,54
2009-11,42,27,51
2009-12,38,26,46
2010-01,55,35,51
2010-02,48,29,52
2010-03,51,30,53
2010-04,50,28,56
2010-05,51,27,50
2010-06,46,28,51
2010-07,48,29,49
2010-08,46,31,50
2010-09,47,30,53
2010-10,44,28,50
2010-11,39,28,48
2010-12,37,27,43
2011-01,55,38,48
2011-02,51,32,46
2011-03,52,34,52
2011-04,55,31,48
2011-05,56,32,49
2011-06,51,32,46
2011-07,52,30,48
2011-08,49,33,55
2011-09,50,35,51
2011-10,48,32,48
2011-11,47,35,46
2011-12,42,32,41
2012-01,62,42,44
2012-02,56,33,45
2012-03,54,36,47
2012-04,56,34,42
2012-05,53,33,47
2012-06,52,34,44
2012-07,54,35,43
2012-08,52,37,44
2012-09,49,38,45
2012-10,44,33,43
2012-11,43,33,40
2012-12,40,32,37
2013-01,62,41,45
2013-02,63,39,47
2013-03,56,37,44
2013-04,59,37,45
2013-05,55,35,46
2013-06,54,37,44
2013-07,53,38,44
2013-08,51,39,45
2013-09,51,37,45
2013-10,47,35,47
2013-11,44,35,40
2013-12,43,35,39
2014-01,60,46,45
2014-02,51,41,45
2014-03,52,40,47
2014-04,52,39,44
2014-05,51,42,43
2014-06,49,38,43
2014-07,45,37,44
2014-08,46,38,43
2014-09,43,42,48
2014-10,44,38,47
2014-11,41,37,42
2014-12,38,36,41
2015-01,52,48,44
2015-02,47,42,45
2015-03,50,43,45
2015-04,49,39,44
2015-05,46,40,44
2015-06,47,41,44
2015-07,44,42,45
2015-08,45,42,45
2015-09,43,43,49
2015-10,41,39,44
2015-11,38,40,41
2015-12,36,40,39
2016-01,50,52,42
2016-02,46,47,44
2016-03,46,45,43
2016-04,49,44,41
2016-05,46,45,41
2016-06,43,47,45
2016-07,43,55,42
2016-08,45,52,43
2016-09,41,49,43
2016-10,38,44,41
2016-11,38,42,41
2016-12,36,46,37
2017-01,51,56,41
2017-02,55,51,42
2017-03,50,47,46
2017-04,47,45,40
2017-05,47,45,43
2017-06,46,48,41
2017-07,50,51,43
2017-08,44,51,44
2017-09,44,51,45
2017-10,44,47,46
2017-11,42,44,46
2017-12,38,44,52
2018-01,59,59,53
2018-02,52,50,47
2018-03,55,50,46
2018-04,54,48,46
2018-05,53,47,45
2018-06,51,49,42
2018-07,55,49,44
2018-08,50,49,45
2018-09,45,49,45
2018-10,45,45,48
2018-11,40,46,42
2018-12,40,47,40
2019-01,63,57,45
2019-02,53,51,46
2019-03,52,51,46
2019-04,51,46,44
2019-05,47,46,47
2019-06,45,52,46
2019-07,47,50,47
2019-08,43,50,53
2019-09,43,50,49
2019-10,41,46,50
2019-11,40,49,48
2019-12,35,48,46
2020-01,51,57,54
2020-02,46,53,57
2020-03,34,46,76
2020-04,35,36,63
2020-05,44,37,64
2020-06,42,44,66
2020-07,41,42,63
2020-08,40,43,57
2020-09,38,43,59
2020-10,36,42,53
2020-11,33,37,53
2020-12,30,39,55
2021-01,43,41,57
2021-02,37,39,64
2021-03,37,40,63
2021-04,35,43,59
2021-05,35,43,56
2021-06,34,45,59
2021-07,32,45,54
2021-08,32,47,54
2021-09,33,47,59
2021-10,30,43,52
2021-11,28,44,54
2021-12,27,42,52
2022-01,36,50,57
2022-02,33,48,58
2022-03,35,48,57
2022-04,32,44,54
2022-05,32,45,56
2022-06,33,50,55
2022-07,31,50,51
2022-08,30,50,57
2022-09,30,49,55
2022-10,28,48,52
2022-11,27,50,54
2022-12,26,47,50
2023-01,33,59,53
2023-02,31,54,57
